job_title,company,jobtype,region,working_Exp,edu_level,salary
MES顧問助理,廣晉軟體股份有限公司,電腦系統整合服務業,桃園市蘆竹區,2年以上,大學,"月薪40,000~60,000元"
數據應用分析人員,裕民航運股份有限公司,海運,台北市大安區,經歷不拘,大學,"月薪33,000元以上"
能環中心誠徵專職計畫助理或輔佐研究員1名,財團法人中華經濟研究院,其他教育服務業,台北市大安區,經歷不拘,大學,"月薪33,800~38,600元"
電商資訊工程師 IT engineer,惟格股份有限公司,專門設計相關業,高雄市鼓山區,2年以上,大學,"月薪40,000元以上"
行銷企劃,博紳品牌顧問有限公司,工商顧問服務業,台北市松山區,2年以上,大學,"月薪33,000~46,000元"
會員行銷企劃,良興股份有限公司,電子通訊／電腦週邊零售業,新北市新莊區,1年以上,專科,"月薪35,000~42,000元"
【研發中心】分析暨研發副工程師/工程師,泛美群信控股股份有限公司,其他金融及輔助業,高雄市苓雅區,經歷不拘,碩士,"月薪45,000~60,000元"
跨境電商營運實習生 Cross-border E-commerce Operation Intern,善恩創新股份有限公司,網際網路相關業,台北市士林區,經歷不拘,學歷不拘,時薪170~250元
CRM會員經營專員,旺德賽斯科技股份有限公司,電腦軟體服務業,台中市西屯區,1年以上,專科,"月薪30,000~60,000元"
資料工程師,英屬維京群島商嘉碼科技有限公司台灣分公司,電腦系統整合服務業,台中市西屯區,3年以上,大學,"月薪45,000~70,000元"
"資料工程師 Data R&D Engineer - 台中 數據技術發展(數數發中心, DDT)",國泰金控_國泰金融控股股份有限公司,金融控股業,台中市烏日區,經歷不拘,大學,"月薪30,000~90,000元"
資料庫暨雲端應用工程師,雲寧科技股份有限公司,電腦系統整合服務業,高雄市三民區,經歷不拘,專科,"月薪36,000~50,000元"
產業輔導研究員 / 產業輔導管理師-商業發展與策略研究所,財團法人商業發展研究院,職業團體,台北市大安區,1年以上,大學,"月薪32,500~50,000元"
遠雄房地產-PM助理(市調專員),遠雄房地產發展股份有限公司,不動產經營業,台北市信義區,1年以上,大學,"月薪35,000元以上"
數值工程師,京赫科技有限公司,數位內容產業,台中市西屯區,經歷不拘,大學,"月薪35,000~55,000元"
[DI] 大數據 工程師,動力安全資訊股份有限公司,電腦系統整合服務業,台北市內湖區,經歷不拘,大學,"月薪30,000~40,000元"
[全職]日本業務與行銷專員,英霸聲學科技股份有限公司,消費性電子產品製造業,新北市中和區,經歷不拘,專科,"月薪45,000元以上"
管理部（宜科）- MIS/ERP 資深工程師,立達國際電子股份有限公司,電腦及其週邊設備製造業,宜蘭縣宜蘭市,5年以上,大學,"月薪45,000~75,000元"
MIS工程師(新竹),優貝克科技股份有限公司,半導體製造業,新竹市,1年以上,大學,"月薪35,000元以上"
軟體研發工程師,直流電通股份有限公司,電腦軟體服務業,新竹縣竹北市,經歷不拘,大學,"月薪40,000~85,000元"
(資深)策略規劃,聯樂數位行銷股份有限公司,廣告行銷公關業,台北市大安區,2年以上,大學,"月薪30,000~40,000元"
後端工程師 Backend Engineer (Django),台灣資料科學股份有限公司,電腦系統整合服務業,台北市內湖區,經歷不拘,專科,"月薪50,000~80,000元"
資料工程師,財團法人均一平台教育基金會,社會福利服務業,台北市中正區,2年以上,大學,"月薪50,000元以上"
經營績效管理師,德翔海運股份有限公司,海運,台北市松山區,1年以上,大學,"月薪35,000~54,000元"
元大銀行-數位金融部-企業網銀規劃發展人員,元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行),金融控股業,台北市松山區,1年以上,碩士,"月薪35,000元以上"
市場行銷企劃專員,寰策國際管理顧問有限公司,工商顧問服務業,日本,經歷不拘,專科,"月薪50,000元以上"
JAVA 軟體設計工程師 (龍潭渴望園區),天來數位股份有限公司,電腦系統整合服務業,桃園市龍潭區,經歷不拘,專科,"月薪40,000~80,000元"
Data Analyst / Reporter,方案諮詢有限公司,其他電子零組件相關業,高雄市苓雅區,經歷不拘,大學,時薪300元以上
AI/人工智慧應用工程師,台灣資安鑄造股份有限公司,其它軟體及網路相關業,台北市松山區,1年以上,碩士,"月薪40,000元以上"
IP通路開發專員,Finger Game_芬格國際股份有限公司,電腦軟體服務業,台北市大安區,2年以上,大學,"月薪32,000~45,000元"
綜合企劃專員,全台物流股份有限公司,儲配／運輸物流業,新北市林口區,經歷不拘,大學,"月薪33,000~45,000元"
【2022研發替代役】資料工程師 Data Engineer (台南/Tainan),凱鈿行動科技股份有限公司,網際網路相關業,台南市永康區,經歷不拘,碩士,"月薪35,000~60,000元"
資深企劃師,威肯公共關係顧問股份有限公司,工商顧問服務業,台北市中正區,3年以上,碩士,"月薪50,000元以上"
AD30070 服務系統分析師,華碩電腦股份有限公司,電腦及其週邊設備製造業,台北市北投區,2年以上,大學,"月薪33,000元以上"
廣告投放專員,香港商遊戲種子娛樂有限公司台灣分公司,電腦軟體服務業,台北市中山區,1年以上,專科,"月薪35,000元以上"
資料工程 / 開發維運實習生  Data / DevOps Engineer Intern【明基BenQ Data Application】,明基電通股份有限公司,消費性電子產品製造業,台北市內湖區,經歷不拘,大學,時薪168元
桃園市 全區 承攬面訪問卷人員,典通股份有限公司,工商顧問服務業,桃園市桃園區,經歷不拘,高中,論件計酬120元以上
軟體專案主管,薩摩亞商尚赫日用品有限公司台灣分公司,傳直銷相關業,台北市萬華區,3年以上,專科,"月薪100,000~150,000元"
行銷部門實習生 / Marketing Intern (Marketing Solution),新加坡商蝦皮娛樂電商有限公司台灣分公司,多媒體相關業,台北市信義區,經歷不拘,大學,時薪180元
媒體企劃/Media Planner,洰和股份有限公司,其它軟體及網路相關業,台北市信義區,1年以上,專科,"月薪35,000~40,000元"
汎德-台北(MINI)-訓練講師,汎德永業汽車股份有限公司,汽機車及其零配件用品／批發業,台北市中山區,1年以上,大學,"月薪28,000~35,000元"
平日白天專案電訪 歡迎電訪老手加入 (請主動來電),典通股份有限公司,工商顧問服務業,台北市中正區,經歷不拘,高中,時薪170~220元
C#程式設計工程師,精藤股份有限公司,電腦系統整合服務業,台北市中山區,1年以上,大學,"月薪34,000~42,000元"
【寶雅-台北總公司】OMO行銷企劃專員   ※適用政府安穩雇用計畫,寶雅國際股份有限公司,百貨相關業,台北市中山區,2年以上,大學,"月薪30,000~42,000元"
股市投資研究助理(實習一年),全曜財經資訊股份有限公司,電腦軟體服務業,新北市板橋區,經歷不拘,大學,時薪168元
系統分析師-情報系統,精藤股份有限公司,電腦系統整合服務業,台北市中山區,2年以上,大學,"年薪800,000~1,000,000元"
專案市場專員,Finger Game_芬格國際股份有限公司,電腦軟體服務業,台北市大安區,1年以上,大學,"月薪30,000~35,000元"
【視訊面試】資訊系統開發工程師,敬鵬工業股份有限公司,印刷電路板製造業(PCB),桃園市蘆竹區,經歷不拘,大學,"月薪28,000~45,000元"
商品企劃部_商品企劃助理 (派遣),台新人壽保險股份有限公司_總公司,人身保險業,台北市松山區,經歷不拘,大學,"月薪28,000~35,000元"
數據分析企劃,社團法人台灣之心愛護動物協會,其他組織,台中市清水區,經歷不拘,大學,"月薪29,000元以上"
區域代表,TAIWAN SUZUKI_金鈴汽車股份有限公司,汽機車及其零配件用品／批發業,新北市板橋區,經歷不拘,大學,"月薪30,000~40,000元"
AI工程師 ,聚陽實業股份有限公司,紡織成衣業,台北市信義區,經歷不拘,專科,"月薪45,000~75,000元"
Data Analyst / 資料分析師,瑞嘉軟體科技股份有限公司,電腦軟體服務業,台北市內湖區,1年以上,大學,"月薪57,750~149,100元"
數位轉型一組資深專員,中華民國資訊軟體協會,電腦軟體服務業,台北市中山區,3年以上,大學,"月薪35,000元以上"
資深數值工程師,京赫科技有限公司,數位內容產業,台中市西屯區,3年以上,大學,"月薪60,000~100,000元"
市場商務專員,科萊博瑞科技有限公司,電腦軟體服務業,台北市內湖區,2年以上,專科,"月薪35,000~50,000元"
RC-數據工程師,泰金寶電通股份有限公司,消費性電子產品製造業,新北市深坑區,經歷不拘,專科,"月薪31,000~70,000元"
前端工程師 Frontend Engineer,創星物聯科技股份有限公司,網際網路相關業,台北市內湖區,2年以上,專科,"年薪600,000~900,000元"
市場分析專員,PGO比雅久_摩特動力工業股份有限公司,機車及其零件製造業,彰化縣大村鄉,經歷不拘,大學,"月薪28,000~38,000元"
Samsung【三星手機】電商平台 資料分析專員/資深專員,鵬泰顧問有限公司,電子通訊／電腦週邊零售業,台北市內湖區,2年以上,大學,"月薪35,000~45,000元"
巨量資料分析平台工程師,中華資安國際股份有限公司,電腦軟體服務業,台北市中正區,經歷不拘,大學,"月薪45,000~80,000元"
專案管理儲備人員,承諾企業管理顧問有限公司,工商顧問服務業,台北市松山區,經歷不拘,專科,"月薪32,000~38,000元"
資深專員/副理（政府專案規劃與管理）,國立中山大學_南區促進產業發展研究中心,工商顧問服務業,高雄市前鎮區,3年以上,大學,"月薪40,000元以上"
全時約聘_工研院產科國際所_政策研究員(0H300),工研院 _財團法人工業技術研究院,其他專業／科學及技術業,台北市大安區,經歷不拘,碩士,"月薪32,000元以上"
【複合材料事業部】行銷管理師,喬福泡綿股份有限公司,合成樹脂／塑膠及橡膠製造業,台中市南屯區,2年以上,大學,"月薪35,000元以上"
.NET 軟體工程師,愛群生醫醫療集團_愛群婦產科診所,診所,台北市大安區,2年以上,專科,"月薪40,000~70,000元"
統一超商 經營分析類 實習生,統一超商股份有限公司,百貨相關業,台北市信義區,經歷不拘,學歷不拘,時薪168~178元
E1-社群輿情分析師(實習生),意藍資訊股份有限公司,網際網路相關業,台北市大安區,經歷不拘,大學,時薪168~188元
保健食品開發、生產管理,康博科技有限公司,生化科技研發業,新北市新店區,3年以上,專科,"月薪35,000~80,000元"
結構分析工程師,台灣富朗巴軟體科技有限公司,電腦軟體服務業,台北市南港區,經歷不拘,大學,"月薪36,000~50,000元"
【國際事業中心】產品營運人員(越南文),網銀國際股份有限公司,電腦軟體服務業,台中市西屯區,1年以上,大學,"月薪35,000~50,000元"
數據分析師,鈊象電子股份有限公司,網際網路相關業,新北市五股區,經歷不拘,碩士,"月薪30,000~60,000元"
【營運企劃】人力運營數據分析師,國泰人壽保險股份有限公司_總公司_國泰金控,人身保險業,台北市大安區,經歷不拘,碩士,"月薪40,000~70,000元"
資料分析實習生【明基BenQ Data Application】,明基電通股份有限公司,消費性電子產品製造業,台北市內湖區,經歷不拘,大學,時薪168元
Sales Analyst - Global Sales Management (HQ),鴻霖航空貨運代理股份有限公司,航空運輸輔助業,台北市內湖區,2年以上,大學,"年薪700,000元以上"
