job_title,company,jobtype,region,working_Exp,edu_level,salary,salary_asist,salary_h,salary_l,salary_a
[幸福企業招募] 系統開發部-資料分析工程 (內湖區),凱擘股份有限公司,多媒體相關業,台北市,2年以上,大學,"月薪35,000~45,000元",35000~45000,45000.0,35000.0,40000.0
【營運企劃】業務通路推展企劃人員,國泰人壽保險股份有限公司_總公司_國泰金控,人身保險業,台北市,經歷不拘,大學,"月薪36,000~60,000元",36000~60000,60000.0,36000.0,48000.0
台北_數位推動業務助理,中華紙漿股份有限公司,紙相關製造業,台北市,1年以上,大學,"月薪35,000~38,500元",35000~38500,38500.0,35000.0,36750.0
KA通路業務,金車大塚股份有限公司,飲料製造業,台北市,經歷不拘,大學,"月薪35,000~45,000元",35000~45000,45000.0,35000.0,40000.0
經營企劃人才,中華汽車工業股份有限公司楊梅廠,汽車及其零件製造業,桃園市,3年以上,大學,"月薪32,000~55,000元",32000~55000,55000.0,32000.0,43500.0
Python Engineer,安智聯科技有限公司,電腦軟體服務業,桃園市,3年以上,大學,"月薪45,000元以上",45000以上,45000.0,45000.0,45000.0
【急徵】行銷部－專案管理師,麗水策略整合行銷有限公司,廣告行銷公關業,台北市,經歷不拘,大學,"月薪28,000~31,000元",28000~31000,31000.0,28000.0,29500.0
阿里巴巴國際站數位行銷助理/專員,勁偉國際股份有限公司,綜合商品批發代理業,台北市,經歷不拘,專科,"月薪27,000~40,000元",27000~40000,40000.0,27000.0,33500.0
逢甲大學 建築專業學院ROSOCoop機器人建造實驗室 商業分析與規劃師 1名,逢甲大學,大專校院教育事業,台中市,經歷不拘,專科,"月薪45,000元以上",45000以上,45000.0,45000.0,45000.0
資料科學家(工作地點:花蓮),財團法人中華民國佛教慈濟慈善事業基金會,宗教組織,花蓮縣,2年以上,大學,"月薪35,000~60,000元",35000~60000,60000.0,35000.0,47500.0
業務助理,幸運福有限公司,綜合商品批發代理業,台中市,經歷不拘,高中,"月薪28,000~35,000元",28000~35000,35000.0,28000.0,31500.0
【2022校徵】商品精算人員,國泰人壽保險股份有限公司_總公司_國泰金控,人身保險業,台北市,經歷不拘,大學,"月薪36,000~70,000元",36000~70000,70000.0,36000.0,53000.0
"電商行銷企劃助理/專員 28,000~32,000元",朝敏果菜批發行,農／畜／水產品批發業,桃園市,2年以上,專科,"月薪28,000~32,000元",28000~32000,32000.0,28000.0,30000.0
LeadAgileX 市場分析 & 專案執行 | Market analysis & Project Executive,領投肯科技股份有限公司,電腦軟體服務業,台北市,1年以上,專科,"月薪36,000~45,000元",36000~45000,45000.0,36000.0,40500.0
廣告優化分析師助理,關鍵數位行銷股份有限公司,廣告行銷公關業,台北市,經歷不拘,大學,"月薪27,000元以上",27000以上,27000.0,27000.0,27000.0
大健康產業數據應用規劃師,典通股份有限公司,工商顧問服務業,台北市,經歷不拘,碩士,"月薪35,000~42,000元",35000~42000,42000.0,35000.0,38500.0
行銷企劃-冰洗產品組,禾聯碩股份有限公司,光電產業,桃園市,經歷不拘,大學,"月薪30,000~35,000元",30000~35000,35000.0,30000.0,32500.0
