job_title,company,jobtype,region,working_Exp,edu_level,salary,salary_asist,salary_h,salary_l,salary_a
【凱基證券/衍生性商品部】權證交易員,中華開發金融控股股份有限公司(凱基證券)(凱基銀行),金融控股業,台北市中山區,經歷不拘,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
統計專員,長佳智能股份有限公司,其它軟體及網路相關業,台中市西區,2年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
G3-農業經營顧問,財團法人中衛發展中心,工商顧問服務業,台北市中正區,2年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
SA20822 台灣區數位行銷專員,華碩電腦股份有限公司,電腦及其週邊設備製造業,台北市北投區,3年以上,大學,"月薪30,000元以上",30000以上,30000.0,30000.0,30000.0
數位行銷企劃(HMG-行銷企劃部),城邦文化事業股份有限公司,雜誌／期刊出版業,台北市中山區,1年以上,大學,"月薪30,000~42,000元",30000~42000,42000.0,30000.0,36000.0
遊戲運營(產品行銷方面),氪龍有限公司,數位內容產業,台北市中山區,經歷不拘,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
無機化學分析工程師,全國公證檢驗股份有限公司,檢測技術服務,台北市內湖區,1年以上,大學,"月薪31,000元以上",31000以上,31000.0,31000.0,31000.0
☆ LaiCarFore 服飾營業經理,彥庭國際有限公司,綜合商品批發代理業,台北市內湖區,3年以上,專科,待遇面議,40000~60000,40000.0,40000.0,40000.0
業務行政助理(企劃部),兆聯實業股份有限公司,環境衛生及污染防治服務業,桃園市桃園區,經歷不拘,大學,"月薪30,400~37,400元",30400~37400,37400.0,30400.0,33900.0
電子商務通路經理,雨林新零售股份有限公司,網際網路相關業,台北市松山區,4年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
網路企劃,旺達棉品國際有限公司,鞋類／布類／服飾品零售業,新北市中和區,1年以上,專科,"月薪28,000~35,000元",28000~35000,35000.0,28000.0,31500.0
機器學習工程師,新穎資訊有限公司,電腦軟體服務業,台中市北區,1年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
生態檢核調查人員-碩/博士級研究專員,財團法人台灣水資源與農業研究院,其他教育服務業,新北市淡水區,1年以上,碩士,待遇面議,40000~60000,40000.0,40000.0,40000.0
Product Manager,布納星科技股份有限公司,電腦軟體服務業,台北市內湖區,2年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
產品專員_oh care事業群,普生股份有限公司,醫療器材製造業,新竹市,3年以上,大學,待遇面議,40000~60000,40000.0,40000.0,40000.0
【STAFF】人力資源管理師 (新竹),士林電機廠股份有限公司,電力機械器材製造修配業,新竹縣湖口鄉,1年以上,大學,"月薪30,000元以上",30000以上,30000.0,30000.0,30000.0
行銷企劃專員,福爾摩沙酒店股份有限公司,旅館業,台南市安平區,2年以上,大學,"月薪28,000~36,000元",28000~36000,36000.0,28000.0,32000.0
CAFEIN 硬咖啡復北門市-儲備店長（需有獨立管理門市2年以上經驗）,阿發布雷克股份有限公司,餐館業,台北市中山區,3年以上,高中,"月薪32,000~36,000元",32000~36000,36000.0,32000.0,34000.0
AI 大數據科學家,昱峰智能大數據科技股份有限公司,電腦軟體服務業,台北市信義區,經歷不拘,專科,待遇面議,40000~60000,40000.0,40000.0,40000.0
